date,time,power,impulse
16.02.14,20:00,80.30000305,355
17.02.14,2:00,79.80000305,443
17.02.14,8:00,81.09999847,454
17.02.14,14:00,64.80000305,335
17.02.14,20:00,57.09999847,236
18.02.14,2:00,63.5,269
18.02.14,8:00,66.59999847,268
18.02.14,14:00,78.90000153,324
18.02.14,20:00,81,324
19.02.14,2:00,55.20000076,189
19.02.14,8:00,65.40000153,268
19.02.14,14:00,44.20000076,183
19.02.14,20:00,54.29999924,208
20.02.14,2:00,61.70000076,286
20.02.14,8:00,48.5,172
20.02.14,14:00,50,300
20.02.14,20:00,45.79999924,176
21.02.14,2:00,44.29999924,152
21.02.14,8:00,50.09999847,157
21.02.14,14:00,62.29999924,214
21.02.14,20:00,52,174
22.02.14,2:00,65.59999847,224
22.02.14,8:00,50.09999847,177
22.02.14,14:00,41.09999847,129
22.02.14,20:00,38.79999924,107
23.02.14,2:00,38.70000076,132
23.02.14,8:00,40.29999924,132
23.02.14,14:00,43.79999924,148
23.02.14,20:00,57,198
24.02.14,2:00,53.29999924,185
24.02.14,8:00,63,222
24.02.14,14:00,32.09999847,119
24.02.14,20:00,40.29999924,135
25.02.14,2:00,38.59999847,135
25.02.14,8:00,59.09999847,210
25.02.14,14:00,34,143
25.02.14,20:00,56.29999924,230
26.02.14,2:00,60.40000153,271
26.02.14,8:00,66.80000305,304
26.02.14,14:00,74.5,313
26.02.14,20:00,62.79999924,224
27.02.14,2:00,86.80000305,319
27.02.14,8:00,86.30000305,344
27.02.14,14:00,54.70000076,206
27.02.14,20:00,83.59999847,362
28.02.14,2:00,87.69999695,399
28.02.14,8:00,57.70000076,234
28.02.14,14:00,77.5,349
28.02.14,20:00,93.80000305,428
01.03.14,2:00,75.40000153,303
01.03.14,8:00,71.80000305,273
01.03.14,14:00,63,265
01.03.14,20:00,56.70000076,197
02.03.14,2:00,61.20000076,246
02.03.14,8:00,65.40000153,314
02.03.14,14:00,41.70000076,201
02.03.14,20:00,67.19999695,271
03.03.14,2:00,57.59999847,264
03.03.14,8:00,90,380
03.03.14,14:00,64.40000153,317
03.03.14,20:00,105.5999985,498
04.03.14,2:00,82.80000305,410
04.03.14,8:00,109.8000031,527
04.03.14,14:00,80,468
04.03.14,20:00,133.3000031,725
05.03.14,2:00,122.4000015,630
05.03.14,8:00,134.8000031,571
05.03.14,14:00,303.5,1570
05.03.14,20:00,68.09999847,211
06.03.14,2:00,57.40000153,192
06.03.14,8:00,62.90000153,234
06.03.14,14:00,40.09999847,157
06.03.14,20:00,105.4000015,514
07.03.14,2:00,85.19999695,334
07.03.14,8:00,70.59999847,211
07.03.14,14:00,93,320
07.03.14,20:00,59,179
08.03.14,2:00,66.30000305,234
08.03.14,8:00,39.70000076,127
08.03.14,14:00,118.5999985,487
08.03.14,20:00,65.30000305,230
09.03.14,2:00,85.59999847,374
09.03.14,8:00,87,489
09.03.14,14:00,100.9000015,451
09.03.14,20:00,79.30000305,289
10.03.14,2:00,89.5,326
10.03.14,8:00,103.0999985,485
10.03.14,14:00,122.1999969,603
10.03.14,20:00,41.20000076,159
11.03.14,2:00,44.20000076,128
11.03.14,8:00,57.5,205
11.03.14,14:00,49.59999847,140
11.03.14,20:00,46.09999847,133
12.03.14,2:00,50.79999924,164
12.03.14,8:00,67,256
12.03.14,14:00,42.5,138
12.03.14,20:00,50.70000076,184
13.03.14,2:00,41,160
