date,A,B
19.06.2015 13:01,161,157
19.06.2015 13:04,155,158
19.06.2015 13:09,153,152
19.06.2015 13:11,158,151
19.06.2015 13:13,163,150
19.06.2015 13:15,161,154
19.06.2015 13:19,162,159
19.06.2015 13:21,166,158
19.06.2015 13:23,167,159
19.06.2015 13:25,172,164
19.06.2015 13:27,171,165
19.06.2015 13:31,165,170
19.06.2015 13:33,176,169
19.06.2015 13:35,163,168
19.06.2015 13:37,175,163
19.06.2015 13:39,170,174
19.06.2015 13:41,168,161
19.06.2015 13:43,169,171
19.06.2015 13:45,173,168
19.06.2015 13:47,165,166
19.06.2015 13:49,168,170
19.06.2015 13:51,150,162
19.06.2015 13:53,155,165
19.06.2015 13:55,153,147
19.06.2015 13:57,158,152
19.06.2015 13:59,177,151
19.06.2015 14:01,179,156
19.06.2015 14:03,180,173
19.06.2015 14:05,183,177
19.06.2015 14:07,173,180
19.06.2015 14:09,174,171
19.06.2015 14:12,182,179
19.06.2015 14:14,183,180
19.06.2015 14:16,178,175
19.06.2015 14:18,181,177
19.06.2015 14:20,177,174
19.06.2015 14:24,169,175
19.06.2015 14:26,171,166
19.06.2015 14:28,172,168
19.06.2015 14:31,174,169
19.06.2015 14:33,157,170
19.06.2015 14:35,162,155
19.06.2015 14:37,163,160
19.06.2015 14:41,166,159
19.06.2015 14:45,160,163
19.06.2015 14:47,156,157
19.06.2015 14:49,157,153
19.06.2015 14:51,158,154
19.06.2015 14:53,163,159
19.06.2015 14:55,165,161
19.06.2015 14:57,161,158
19.06.2015 14:59,162,159
19.06.2015 15:01,160,156
19.06.2015 15:03,164,160
19.06.2015 15:05,167,164
19.06.2015 15:07,162,158
19.06.2015 15:09,161,157
19.06.2015 15:11,164,160
19.06.2015 15:15,157,154
19.06.2015 15:17,163,160
19.06.2015 15:19,168,165
19.06.2015 15:21,171,167
19.06.2015 15:23,168,165
19.06.2015 15:25,165,162
19.06.2015 15:27,169,166
19.06.2015 15:29,167,164
19.06.2015 15:31,162,158
19.06.2015 15:34,157,153
19.06.2015 15:37,158,154
19.06.2015 15:39,155,151
19.06.2015 15:41,157,153
19.06.2015 15:43,166,163
19.06.2015 15:45,163,159
19.06.2015 15:47,164,160
19.06.2015 15:49,169,165
19.06.2015 15:51,173,169
19.06.2015 15:54,162,158
19.06.2015 15:56,158,154
19.06.2015 15:58,163,159
19.06.2015 16:03,158,155
19.06.2015 16:05,154,149
19.06.2015 16:07,148,145
19.06.2015 16:09,157,153
19.06.2015 16:11,163,159
19.06.2015 16:14,164,161
19.06.2015 16:16,158,154
19.06.2015 16:18,157,153
19.06.2015 16:20,151,148
19.06.2015 16:22,161,157
19.06.2015 16:24,155,151
19.06.2015 16:26,154,160
19.06.2015 16:28,155,154
19.06.2015 16:31,163,155
19.06.2015 16:33,157,160
19.06.2015 16:35,159,156
19.06.2015 16:37,164,158
19.06.2015 16:39,163,155
19.06.2015 16:41,160,150
19.06.2015 16:44,162,153
19.06.2015 16:46,159,151
19.06.2015 16:48,154,150
19.06.2015 16:50,157,144
19.06.2015 16:52,155,149
19.06.2015 16:54,153,148
19.06.2015 16:58,148,149
19.06.2015 18:01,152,150
19.06.2015 18:03,150,153
19.06.2015 18:05,151,149
19.06.2015 18:07,153,148
19.06.2015 18:09,157,147
19.06.2015 18:11,152,145
19.06.2015 18:16,151,151
19.06.2015 18:20,149,150
19.06.2015 18:22,154,155
19.06.2015 18:26,158,162
19.06.2015 18:28,165,170
19.06.2015 18:31,174,156
19.06.2015 18:33,160,159
19.06.2015 18:35,163,155
19.06.2015 18:37,159,151
19.06.2015 18:39,155,156
19.06.2015 18:41,159,160
19.06.2015 18:43,164,166
19.06.2015 18:45,170,161
19.06.2015 18:47,165,158
19.06.2015 18:49,161,165
19.06.2015 18:51,168,162
19.06.2015 18:53,164,161
19.06.2015 18:57,167,164
19.06.2015 18:59,166,163
19.06.2015 19:01,158,155
19.06.2015 19:03,163,161
19.06.2015 19:05,171,168
19.06.2015 19:07,173,170
19.06.2015 19:09,175,172
19.06.2015 19:11,166,163
19.06.2015 19:13,163,159
19.06.2015 19:15,168,165
19.06.2015 19:17,164,162
19.06.2015 19:19,161,158
19.06.2015 19:21,160,157
19.06.2015 19:23,157,154
19.06.2015 19:25,155,153
19.06.2015 19:27,153,150
19.06.2015 19:29,161,158
19.06.2015 19:31,156,153
19.06.2015 19:33,152,149
19.06.2015 19:35,159,156
19.06.2015 19:37,160,157
19.06.2015 19:39,154,150
19.06.2015 19:41,163,159
19.06.2015 19:43,156,153
19.06.2015 19:47,166,163
19.06.2015 19:49,157,155
19.06.2015 19:51,158,156
19.06.2015 19:53,159,158
19.06.2015 19:55,160,154
19.06.2015 19:58,157,159
19.06.2015 20:00,162,158
19.06.2015 20:02,161,161
19.06.2015 20:04,164,162
19.06.2015 20:08,158,155
19.06.2015 20:10,169,166
19.06.2015 20:12,167,165
19.06.2015 20:14,168,166
19.06.2015 20:16,165,163
19.06.2015 20:18,170,167
19.06.2015 20:20,167,164
19.06.2015 20:22,181,179
19.06.2015 20:24,176,174
19.06.2015 20:26,164,162
19.06.2015 20:28,169,167
19.06.2015 20:31,167,166
19.06.2015 20:33,169,167
19.06.2015 20:35,171,168
19.06.2015 20:37,175,173
19.06.2015 20:39,171,169
19.06.2015 20:41,176,174
19.06.2015 20:43,175,173
19.06.2015 20:45,179,177
19.06.2015 20:47,176,174
19.06.2015 20:49,183,180
19.06.2015 20:53,181,181
19.06.2015 20:55,183,179
19.06.2015 20:57,178,180
19.06.2015 20:59,177,176
19.06.2015 21:01,179,175
19.06.2015 21:03,172,178
19.06.2015 21:05,176,171
19.06.2015 21:07,181,174
19.06.2015 21:09,185,179
19.06.2015 21:11,179,182
19.06.2015 21:13,188,177
19.06.2015 21:16,186,185
19.06.2015 21:18,181,184
19.06.2015 21:20,182,179
19.06.2015 21:22,180,180
19.06.2015 21:24,175,177
19.06.2015 21:26,171,172
19.06.2015 21:28,174,169
19.06.2015 21:31,176,171
19.06.2015 21:33,180,175
19.06.2015 21:35,181,178
19.06.2015 21:39,183,179
19.06.2015 21:41,182,178
19.06.2015 21:43,183,181
19.06.2015 21:45,178,180
19.06.2015 21:47,177,181
19.06.2015 21:49,176,176
19.06.2015 21:51,175,174
19.06.2015 21:53,172,172
19.06.2015 21:55,167,168
19.06.2015 21:57,174,165
19.06.2015 21:59,165,172
19.06.2015 22:01,163,163
19.06.2015 22:03,165,159
19.06.2015 22:05,163,161
19.06.2015 22:07,164,160
19.06.2015 22:09,167,162
19.06.2015 22:11,166,165
19.06.2015 22:13,168,164
19.06.2015 22:15,164,165
19.06.2015 22:17,166,162
19.06.2015 22:19,173,164
19.06.2015 22:21,163,171
19.06.2015 22:23,162,160
19.06.2015 22:25,163,159
19.06.2015 22:27,158,160
19.06.2015 22:29,161,155
19.06.2015 22:33,163,160
19.06.2015 22:35,160,159
19.06.2015 22:37,155,158
19.06.2015 22:39,156,153
19.06.2015 22:41,155,151
19.06.2015 22:43,151,148
19.06.2015 22:45,154,151
19.06.2015 22:51,151,150
19.06.2015 22:55,153,151
19.06.2015 22:57,152,149
19.06.2015 23:00,148,148
19.06.2015 23:02,150,150
19.06.2015 23:04,145,149
19.06.2015 23:06,147,146
19.06.2015 23:08,145,147
19.06.2015 23:10,148,143
19.06.2015 23:12,141,144
19.06.2015 23:14,140,142
19.06.2015 23:16,142,145
19.06.2015 23:18,146,138
19.06.2015 23:20,149,139
