date,frst,crit
19.06.15 12:04,37,75
19.06.15 13:01,37,75
19.06.15 13:13,38,75
19.06.15 13:17,37,75
19.06.15 13:21,38,75
19.06.15 13:23,37,75
19.06.15 13:33,38,75
19.06.15 14:01,39,75
19.06.15 14:03,38,75
19.06.15 14:31,37,75
19.06.15 14:35,38,75
19.06.15 15:58,39,75
19.06.15 16:11,40,75
19.06.15 16:16,39,75
19.06.15 16:18,40,75
19.06.15 16:24,39,75
19.06.15 16:26,40,75
19.06.15 16:31,39,75
19.06.15 16:37,40,75
19.06.15 16:41,39,75
19.06.15 16:44,40,75
19.06.15 16:56,39,75
19.06.15 18:01,40,75
19.06.15 18:16,39,75
19.06.15 18:35,40,75
19.06.15 18:39,39,75
19.06.15 18:47,40,75
19.06.15 19:03,39,75
19.06.15 19:07,40,75
19.06.15 19:39,39,75
19.06.15 19:45,40,75
19.06.15 20:10,39,75
19.06.15 20:12,40,75
19.06.15 20:14,39,75
19.06.15 20:47,38,75
19.06.15 20:49,39,75
19.06.15 20:51,38,75
19.06.15 20:53,39,75
19.06.15 21:18,38,75
19.06.15 21:22,39,75
19.06.15 21:31,38,75
19.06.15 22:09,37,75
19.06.15 22:13,38,75
19.06.15 22:21,37,75
19.06.15 22:33,36,75
19.06.15 22:35,37,75
19.06.15 22:37,36,75
19.06.15 22:45,37,75
19.06.15 23:06,36,75
19.06.15 23:10,37,75
19.06.15 23:22,36,75
20.06.15 0:08,35,75
20.06.15 1:17,34,75
20.06.15 1:31,35,75
20.06.15 1:35,34,75
20.06.15 1:44,35,75
20.06.15 1:46,34,75
20.06.15 1:50,35,75
20.06.15 1:58,34,75
20.06.15 2:23,33,75
20.06.15 2:27,34,75
20.06.15 2:29,33,75
20.06.15 2:33,34,75
20.06.15 2:41,33,75
20.06.15 2:53,32,75
20.06.15 2:55,33,75
20.06.15 3:05,32,75
20.06.15 3:09,33,75
20.06.15 3:49,32,75
20.06.15 3:53,33,75
20.06.15 4:01,32,75
20.06.15 4:03,33,75
20.06.15 4:07,32,75
20.06.15 4:41,33,75
20.06.15 4:54,32,75
20.06.15 6:25,33,75
20.06.15 6:27,32,75
20.06.15 6:30,33,75
20.06.15 6:32,32,75
20.06.15 6:34,33,75
20.06.15 7:11,34,75
20.06.15 7:37,35,75
20.06.15 7:39,34,75
20.06.15 7:51,35,75
20.06.15 7:53,34,75
20.06.15 8:05,35,75
20.06.15 8:11,34,75
20.06.15 8:19,35,75
20.06.15 8:23,34,75
20.06.15 8:25,35,75
20.06.15 8:59,36,75
20.06.15 9:37,37,75
20.06.15 9:41,36,75
20.06.15 10:03,37,75
20.06.15 10:19,36,75
20.06.15 10:25,37,75
20.06.15 10:27,36,75
20.06.15 10:45,37,75
20.06.15 11:23,38,75
20.06.15 11:25,37,75
20.06.15 11:39,38,75
20.06.15 11:43,37,75
20.06.15 12:17,38,75
20.06.15 12:21,37,75
20.06.15 12:25,38,75
20.06.15 12:30,37,75
20.06.15 12:32,38,75
20.06.15 12:40,37,75
20.06.15 12:46,38,75
20.06.15 13:15,39,75
20.06.15 13:17,38,75
20.06.15 13:19,39,75
20.06.15 13:29,38,75
20.06.15 13:31,39,75
20.06.15 13:45,38,75
20.06.15 13:53,39,75
20.06.15 13:55,38,75
20.06.15 13:59,39,75
20.06.15 14:51,40,75
20.06.15 14:55,39,75
20.06.15 15:43,40,75
20.06.15 15:57,39,75
20.06.15 16:01,40,75
20.06.15 16:03,39,75
20.06.15 16:05,40,75
20.06.15 16:09,39,75
20.06.15 16:11,40,75
20.06.15 16:19,39,75
20.06.15 16:48,40,75
20.06.15 17:21,39,75
20.06.15 17:25,40,75
20.06.15 17:53,39,75
20.06.15 17:58,40,75
20.06.15 18:10,39,75
20.06.15 18:12,40,75
20.06.15 18:24,39,75
20.06.15 18:26,40,75
20.06.15 19:01,39,75
20.06.15 19:05,40,75
20.06.15 19:07,39,75
20.06.15 19:13,40,75
20.06.15 19:17,39,75
20.06.15 19:27,40,75
20.06.15 19:29,39,75
20.06.15 20:02,40,75
20.06.15 20:18,39,75
20.06.15 21:01,40,75
20.06.15 21:09,39,75
20.06.15 21:23,40,75
20.06.15 21:29,39,75
20.06.15 21:31,40,75
20.06.15 21:33,39,75
20.06.15 22:24,38,75
20.06.15 22:26,39,75
20.06.15 22:37,38,75
20.06.15 22:43,39,75
20.06.15 22:47,38,75
20.06.15 22:53,39,75
20.06.15 22:57,38,75
20.06.15 23:01,39,75
20.06.15 23:05,38,75
20.06.15 23:39,37,75
20.06.15 23:41,38,75
20.06.15 23:47,37,75
20.06.15 23:56,38,75
21.06.15 0:08,37,75
21.06.15 0:51,36,75
21.06.15 0:53,37,75
21.06.15 0:59,36,75
21.06.15 1:01,37,75
21.06.15 1:05,36,75
21.06.15 1:33,35,75
21.06.15 1:39,36,75
21.06.15 1:55,35,75
21.06.15 1:57,36,75
21.06.15 1:59,35,75
21.06.15 2:35,34,75
21.06.15 2:37,35,75
21.06.15 3:01,34,75
21.06.15 3:11,35,75
21.06.15 3:15,34,75
21.06.15 3:35,35,75
21.06.15 3:37,34,75
21.06.15 3:43,35,75
21.06.15 3:47,34,75
21.06.15 4:33,35,75
21.06.15 4:35,34,75
21.06.15 4:45,35,75
21.06.15 4:47,34,75
21.06.15 4:49,35,75
21.06.15 4:53,34,75
21.06.15 5:17,33,75
21.06.15 5:33,32,75
21.06.15 5:37,33,75
21.06.15 5:43,32,75
21.06.15 5:57,33,75
21.06.15 7:39,34,75
